riotId,leaguePoints
brelia4real#EUW,1098
Aggressive Play#EUW,1097
unforgiven#12321,1097
Dark Wanderer#2956,1097
Pyrka#EUW4,1096
Τadej Pogačar#Soria,1096
tibor#zzz,1094
Griefzilla#EUW12,1094
Spear Shot#EUW2,1093
asdfasdf#0308,1093
L Vasco O #EUW,1092
PoEs tk#EUW,1092
TwTv BZ EUW#INSHL,1092
メルエム#king,1091
DONT GET C#EUW,1091
Autumn Leaf#Seal,1090
MIDKING#kkkk,1089
Noah7#3977,1086
katsing galang#GURU,1086
Daksider#FOCUS,1086
Berry Bulk#BULK,1086
TOXY#TXY1,1084
Stormaxx#EUW,1084
The Lost Petals#Aimer,1083
fear dagger#4810,1081
1K99HX6ZSG3726LG#00000,1081
rettebeb#11241,1081
SC MélyaP#2406,1080
nat#mrrd,1080
B2U Nord#B2U,1080
pickaboowhatchu#doing,1080
Marlboro Edge#kboom,1080
Joki37#EUW,1079
I WANT BE COACH#0003,1078
BRR BRR PATAPIM#VAYNE,1078
humble Marty#EUW,1076
Nubobo#EUW,1076
FF15#2501,1075
Iziio#00000,1075
Afriibi#AFB,1075
asfdasfd#afsd,1075
Cribob#EUW0,1074
Maxlore#EUW,1074
Boltox#EUW,1073
Only Spatula#999,1073
aarontheplumber#MrJay,1073
Loose Ends999#EUW,1072
ΑrchΦiend#666,1072
Bayo#x123,1072
Turret Syndrome#HEIM,1072
Knurble MID#5555,1072
S2mIE100LeSH#sigma,1069
Aurelion Sol God#EUW,1069
Yami Sukehiro#3309,1068
Akanania#1213,1066
eLS Louis#atlas,1066
raikquaza#kata,1066
MIDKING#0303,1065
hesszero#PAWEL,1064
Évangelyne#BELGE,1064
nmvz#5548,1063
eeZaZ#333,1061
Forstie#UWU,1061
YOUAREPERFECT#PRFCT,1060
EŞREF TEK#BRKN,1059
Faz#EUW2,1054
Spoodersussi v3#EUW,1044
